Line 505 | Var: N/A | Function: Global/File (Composable=False) | Content: mutableStateOf(list)
Line 526 | Var: N/A | Function: Global/File (Composable=False) | Content: mutableStateOf(pal)
Line 539 | Var: imageBitmap | Function: UriImage (Composable=True) | Content: var imageBitmap by remember(uriString) { mutableStateOf<androidx.compose.ui.graphics.ImageBitmap?>(null) }
Line 1102 | Var: onboardingFlowStep | Function: HomeScreen (Composable=True) | Content: mutableStateOf(
Line 1115 | Var: onboardingFirstName | Function: HomeScreen (Composable=True) | Content: var onboardingFirstName by remember { mutableStateOf(parsedName.first) }
Line 1116 | Var: onboardingLastName | Function: HomeScreen (Composable=True) | Content: var onboardingLastName by remember { mutableStateOf(parsedName.second) }
Line 1119 | Var: currentDisplayName | Function: HomeScreen (Composable=True) | Content: mutableStateOf(user?.displayName ?: user?.email?.substringBefore("@") ?: "apple_user")
Line 1126 | Var: editFirstName | Function: HomeScreen (Composable=True) | Content: var editFirstName by remember { mutableStateOf("") }
Line 1127 | Var: editLastName | Function: HomeScreen (Composable=True) | Content: var editLastName by remember { mutableStateOf("") }
Line 1130 | Var: customAvatarUriString | Function: HomeScreen (Composable=True) | Content: var customAvatarUriString by remember { mutableStateOf(sessionManager.getAvatarUri()) }
Line 1147 | Var: isLoadingPals | Function: HomeScreen (Composable=True) | Content: var isLoadingPals by remember { mutableStateOf(sessionManager.isFirstLogin()) }
Line 1148 | Var: selectedTab | Function: HomeScreen (Composable=True) | Content: var selectedTab by remember { mutableStateOf("pals") } // "camera" or "pals"
Line 1149 | Var: isRecordingCamera | Function: HomeScreen (Composable=True) | Content: var isRecordingCamera by remember { mutableStateOf(false) }
Line 1216 | Var: showPlusMenu | Function: HomeScreen (Composable=True) | Content: var showPlusMenu by remember { mutableStateOf(false) }
Line 1217 | Var: showTripleDotMenu | Function: HomeScreen (Composable=True) | Content: var showTripleDotMenu by remember { mutableStateOf(false) }
Line 1218 | Var: showActivityScreen | Function: HomeScreen (Composable=True) | Content: var showActivityScreen by remember { mutableStateOf(false) }
Line 1219 | Var: showCreatePalFlow | Function: HomeScreen (Composable=True) | Content: var showCreatePalFlow by remember { mutableStateOf(false) }
Line 1220 | Var: showJoinPalFlow | Function: HomeScreen (Composable=True) | Content: var showJoinPalFlow by remember { mutableStateOf(false) }
Line 1226 | Var: createPalTitleVisible | Function: HomeScreen (Composable=True) | Content: var createPalTitleVisible by remember { mutableStateOf(false) }
Line 1227 | Var: createPalInputVisible | Function: HomeScreen (Composable=True) | Content: var createPalInputVisible by remember { mutableStateOf(false) }
Line 1228 | Var: createPalSizeVisible | Function: HomeScreen (Composable=True) | Content: var createPalSizeVisible by remember { mutableStateOf(false) }
Line 1352 | Var: createPalStep | Function: HomeScreen (Composable=True) | Content: var createPalStep by remember { mutableStateOf(1) }
Line 1353 | Var: newPalName | Function: HomeScreen (Composable=True) | Content: var newPalName by remember { mutableStateOf("") }
Line 1354 | Var: newPalSize | Function: HomeScreen (Composable=True) | Content: var newPalSize by remember { mutableStateOf("3") }
Line 1355 | Var: generatedPalCode | Function: HomeScreen (Composable=True) | Content: var generatedPalCode by remember { mutableStateOf("") }
Line 1356 | Var: joinPalCode | Function: HomeScreen (Composable=True) | Content: var joinPalCode by remember { mutableStateOf("") }
Line 1358 | Var: isCreatingPal | Function: HomeScreen (Composable=True) | Content: var isCreatingPal by remember { mutableStateOf(false) }
Line 1359 | Var: creationDots | Function: HomeScreen (Composable=True) | Content: var creationDots by remember { mutableStateOf("") }
Line 1400 | Var: N/A | Function: HomeScreen (Composable=True) | Content: mutableStateOf(initialList)
Line 1415 | Var: selectedThemeColor | Function: HomeScreen (Composable=True) | Content: var selectedThemeColor by remember { mutableStateOf("yellow") }
